PM2,5 São Paulo (?g/m³);PM2,5 Cidade do México (?g/m³);PM2,5 Santiago (?g/m³);PM2,5 Buenos Aires (?g/m³);PM2,5 Lima (?g/m³);PM2,5 Rio de Janeiro (?g/m³)
;24;21;4;;11
;25;25;5;;12
;27;27;4;;10
;27;24;5;;16
;24;23;6;;11
;23;22;6;;10
;23;20;6;;9
;23;15;5;;8
;20;14;5;;7
;18;21;5;;6
;17;20;5;;8
;25;17;6;;9
;27;10;4;;10
;22;11;5;;14
;21;12;4;;10
;21;21;5;;12
;22;25;6;;13
;18;27;5;;14
;16;22;5;;15
;18;21;;;16
;21;27;;;12
;23;21;;;14
;27;14;;;13
;25;13;;;10
;27;20;;;9
;25;27;;;14
;22;15;;;9
;23;17;;;10
;21;12;;;12
;18;13;;;16
;19;19;;;15
;17;26;;;11
;25;28;;;5
;26;19;;;7
;23;13;;;13
;25;11;;;9
;23;12;;;7
;22;13;;;5
;23;14;;;8
;23;14;;;9
;20;15;;;13
;19;14;;;15
;23;13;;;13
;20;14;;;9
;23;16;;;10
;24;22;;;8
;22;27;;;12
;24;28;;;14
;25;23;;;15
;26;22;;;15
;24;20;;;15
;24;22;;;14
;22;28;;;10
;17;22;;;9
;21;15;;;13
;21;14;;;14
;27;20;;;12
;25;17;;;11
;23;10;;;10
;23;11;;;9
;24;12;;;6
;21;16;;;7
;22;15;;;8
;19;17;;;9
;18;27;;;10
;17;22;;;12
;18;19;;;10
;19;21;;;11
;16;29;;;11
;21;24;;;12
;24;20;;;14
;22;18;;;13
;25;17;;;12
;27;16;;;11
;26;15;;;9
;25;17;;;8
;22;16;;;6
;21;15;;;7
;23;18;;;15
;21;18;;;14
;22;9;;;7
;16;11;;;7
;16;12;;;12
;18;12;;;14
;19;16;;;15
;21;15;;;16
;24;17;;;16
;23;18;;;15
;24;18;;;14
;23;19;;;11
;24;20;;;12
;22;22;;;11
;18;21;;;15
;19;20;;;10
;19;20;;;13
;18;28;;;14
;22;27;;;11
;21;28;;;10
;23;21;;;9
;25;22;;;10
;23;23;;;11
;21;20;;;11
;21;19;;;12
;20;18;;;12
;17;17;;;11
;15;19;;;13
;18;20;;;14
;16;10;;;14
;21;14;;;10
;22;16;;;9
;25;19;;;7
;21;20;;;8
;16;21;;;11
;15;22;;;6
;18;20;;;5
;18;19;;;8
;19;21;;;12
;24;25;;;11
;22;27;;;9
;21;26;;;10
;23;24;;;14
;24;22;;;12
;22;20;;;16
;21;21;;;17
;22;24;;;16
;21;17;;;11
;20;17;;;14
;19;21;;;11
;18;11;;;10
;16;12;;;16
;23;13;;;12
;22;12;;;13
;22;15;;;11
;23;14;;;10
;20;21;;;10
;24;23;;;11
;21;27;;;10
;16;28;;;11
;23;27;;;11
;22;22;;;12
;19;19;;;10
;14;18;;;14
;22;18;;;15
;16;20;;;14
;20;28;;;11
;22;27;;;6
;18;25;;;8
;21;29;;;7
;21;21;;;13
;15;19;;;15
;23;22;;;8
;17;17;;;8
;16;15;;;7
;19;16;;;8
;20;16;;;12
;23;14;;;15
;24;17;;;10
;22;12;;;11
;18;13;;;15
;15;15;;;16
;19;15;;;17
;20;19;;;12
;20;24;;;16
;19;27;;;13
;20;22;;;11
;21;21;;;11
;20;20;;;14
;19;21;;;11
;17;22;;;13
;21;23;;;11
;19;24;;;12
;23;28;;;11
;20;20;;;10
;17;18;;;7
;16;16;;;8
;18;18;;;9
;16;16;;;10
;19;13;;;9
;20;14;;;7
;20;14;;;8
;20;20;;;11
;21;21;;;15
;21;26;;;9
;22;27;;;13
;21;16;;;14
;18;23;;;16
;17;20;;;16
;17;19;;;13
;20;20;;;13
;19;22;;;17
;20;27;;;12
;22;23;;;12
;22;17;;;13
;23;16;;;12
;20;15;;;10
;18;17;;;11
;16;15;;;11
;18;15;;;10
;20;12;;;17
;17;14;;;11
;17;17;;;9
;19;19;;;12
;21;21;;;11
;19;20;;;12
;17;18;;;16
;20;20;;;17
;19;22;;;15
;19;23;;;10
;18;20;;;8
;18;17;;;10
;20;18;;;15
;20;19;;;15
;20;21;;;13
;18;23;;;11
;18;27;;;10
;17;22;;;11
;17;21;;;8
;17;15;;;12
;18;17;;;16
;20;18;;;17
;19;18;;;10
;19;15;;;9
;22;13;;;11
;23;14;;;7
;21;13;;;17
;17;12;;;16
;17;13;;;15
;15;16;;;16
;17;18;;;15
;18;17;;;12
;18;16;;;10
;20;17;;;12
;19;19;;;15
;18;16;;;16
;17;17;;;14
;18;16;;;14
;19;14;;;14
;17;14;;;12
;16;17;;;8
;20;18;;;9
;21;19;;;12
;20;19;;;16
;19;18;;;10
;18;19;;;17
;16;20;;;16
;15;18;;;13
;17;19;;;11
;17;21;;;16
;16;22;;;13
;17;21;;;17
;16;15;;;14
;15;16;;;10
;20;18;;;9
;22;20;;;10
;20;12;;;15
;19;14;;;16
;17;15;;;17
;16;16;;;12
;17;17;;;11
;17;18;;;10
;21;17;;;11
;20;16;;;12
;17;15;;;15
;20;14;;;16
;17;13;;;17
;18;14;;;14
;19;16;;;18
;17;17;;;16
;19;18;;;11
;18;19;;;10
;19;18;;;11
;20;19;;;11
;17;20;;;15
;18;14;;;16
;19;13;;;17
;20;15;;;13
;19;16;;;16
;17;16;;;13
;16;17;;;12
;19;18;;;9
;15;17;;;12
;18;20;;;16
;20;18;;;17
;22;18;;;18
;21;13;;;15
;19;16;;;14
;23;17;;;12
;15;19;;;11
;14;20;;;10
;21;19;;;13
;22;18;;;12
;17;15;;;11
;16;15;;;13
;22;17;;;10
;24;19;;;11
;20;20;;;10
;19;18;;;12
;18;18;;;12
;17;19;;;13
;24;15;;;12
;23;16;;;11
;24;20;;;
;22;18;;;
;20;10;;;
;23;11;;;
;19;12;;;
;23;17;;;
;24;20;;;
;23;25;;;
;23;27;;;
;22;26;;;
;23;25;;;
;21;24;;;
;20;20;;;
;19;19;;;
;23;18;;;
;22;18;;;
;;17;;;
;;17;;;
;;14;;;
;;13;;;
;;17;;;
;;17;;;
;;18;;;
;;20;;;
;;18;;;
;;18;;;
;;12;;;
;;12;;;
;;26;;;
;;29;;;
;;28;;;
;;27;;;
;;26;;;
;;22;;;
;;20;;;
;;18;;;
;;19;;;
;;16;;;
;;17;;;
;;17;;;
;;17;;;
;;15;;;
;;17;;;
;;20;;;
;;21;;;
;;19;;;
;;12;;;
;;11;;;
;;14;;;
;;19;;;
;;21;;;
;;19;;;
;;15;;;
;;16;;;
;;19;;;
;;18;;;
;;19;;;
;;15;;;
;;17;;;
;;12;;;
;;13;;;
;;18;;;
;;24;;;
;;27;;;
;;28;;;
;;27;;;
;;26;;;
;;21;;;
;;19;;;
;;18;;;
;;17;;;
;;15;;;
;;15;;;
;;18;;;
;;13;;;
;;14;;;
;;20;;;
;;22;;;
;;21;;;
;;19;;;
;;17;;;
;;16;;;
;;15;;;
;;16;;;
;;19;;;
;;19;;;
;;18;;;
;;16;;;
;;16;;;
;;16;;;
;;13;;;
;;17;;;
;;14;;;
;;17;;;
;;18;;;
;;19;;;
;;18;;;
;;17;;;
;;15;;;
;;15;;;
;;18;;;
;;15;;;
;;18;;;
;;19;;;
;;18;;;
;;15;;;
;;14;;;
;;13;;;
;;14;;;
;;15;;;
;;16;;;
;;17;;;
;;17;;;
;;17;;;
;;16;;;
;;13;;;
;;15;;;
;;16;;;
;;17;;;
;;18;;;
;;20;;;
;;12;;;
;;15;;;
;;16;;;
;;18;;;
;;17;;;
;;14;;;
;;13;;;
;;12;;;
;;13;;;
;;15;;;
;;16;;;
;;17;;;
;;16;;;
;;17;;;
;;17;;;
;;16;;;
;;16;;;
;;15;;;
;;15;;;
;;17;;;
;;14;;;
;;15;;;
;;18;;;
;;20;;;
;;15;;;
;;16;;;
;;15;;;
;;14;;;
;;15;;;
;;18;;;
;;19;;;
;;18;;;
;;16;;;
;;15;;;
;;14;;;
;;17;;;
;;17;;;
;;17;;;
;;16;;;
;;15;;;
;;16;;;
;;20;;;
;;21;;;
;;15;;;
;;16;;;
;;14;;;
;;13;;;
;;14;;;
;;15;;;
;;18;;;
;;13;;;
;;15;;;
;;16;;;
;;15;;;
;;17;;;
;;17;;;
;;16;;;
;;16;;;
;;21;;;
;;14;;;
;;15;;;
;;15;;;
;;14;;;
;;12;;;
;;13;;;
;;19;;;
;;16;;;
;;15;;;
;;16;;;
;;15;;;
;;14;;;
;;19;;;
;;16;;;
;;15;;;
;;16;;;
;;17;;;
;;16;;;
;;14;;;
;;19;;;
;;11;;;
;;14;;;
;;13;;;
;;13;;;
;;14;;;
;;15;;;
;;13;;;
;;13;;;
;;14;;;
;;15;;;
;;17;;;
;;14;;;
;;13;;;
;;15;;;
;;18;;;
;;18;;;
;;17;;;
;;16;;;
;;15;;;
;;20;;;
;;21;;;
;;10;;;
;;10;;;
;;13;;;
;;14;;;
;;13;;;
;;11;;;
;;12;;;
;;13;;;
;;14;;;
;;16;;;
;;17;;;
;;14;;;
;;16;;;
;;15;;;
;;17;;;
;;16;;;
;;15;;;
;;19;;;
;;18;;;
;;17;;;
;;16;;;
;;13;;;
;;13;;;
;;13;;;
;;13;;;
;;14;;;
;;15;;;
;;16;;;
;;18;;;
;;18;;;
;;17;;;
;;18;;;
;;16;;;
;;18;;;
;;19;;;
;;18;;;
;;13;;;
;;12;;;
;;15;;;
;;15;;;
;;17;;;
;;17;;;
;;19;;;
;;19;;;
;;9;;;
;;14;;;
;;14;;;
;;11;;;
;;12;;;
;;18;;;
;;16;;;
;;17;;;
;;12;;;
;;12;;;
;;14;;;
;;11;;;
;;12;;;
;;13;;;
;;12;;;
;;13;;;
;;12;;;
;;11;;;
;;13;;;
;;16;;;
;;19;;;
;;16;;;
;;16;;;
;;13;;;
;;18;;;
;;17;;;
;;17;;;
;;18;;;
;;18;;;
;;10;;;
;;13;;;
;;13;;;
;;14;;;
;;11;;;
;;10;;;
;;13;;;
;;14;;;
;;15;;;
;;18;;;
;;17;;;
;;15;;;
;;19;;;
;;18;;;
;;18;;;
;;20;;;
;;19;;;
;;18;;;
;;12;;;
;;13;;;
;;12;;;
;;11;;;
;;10;;;
;;9;;;
;;12;;;
;;13;;;
;;12;;;
;;11;;;
;;13;;;
;;15;;;
;;16;;;
;;15;;;
;;18;;;
;;16;;;
;;15;;;
;;20;;;
;;19;;;
;;21;;;
;;18;;;
;;19;;;
;;21;;;
;;20;;;
;;19;;;
;;18;;;
;;12;;;
;;12;;;
;;11;;;
;;13;;;
;;14;;;
;;12;;;
;;11;;;
;;12;;;
;;14;;;
;;16;;;
;;17;;;
;;15;;;
;;16;;;
;;21;;;
;;20;;;
;;22;;;
;;21;;;
;;22;;;
;;23;;;
;;21;;;
;;10;;;
;;11;;;
;;11;;;
;;10;;;
;;12;;;
;;11;;;
;;17;;;
;;16;;;
;;15;;;
;;22;;;
;;21;;;
;;22;;;
;;19;;;
;;10;;;
;;14;;;
;;12;;;
;;12;;;
;;17;;;
;;19;;;
;;20;;;
;;21;;;
;;21;;;
;;19;;;
;;20;;;
;;21;;;
;;9;;;
;;10;;;
;;10;;;
;;9;;;
;;8;;;
;;12;;;
;;13;;;
;;12;;;
;;13;;;
;;12;;;
;;11;;;
;;14;;;
;;15;;;
;;16;;;
;;17;;;
;;17;;;
;;18;;;
;;20;;;
;;21;;;
;;22;;;
;;20;;;
;;11;;;
;;8;;;
;;12;;;
;;13;;;
;;14;;;
;;14;;;
;;15;;;
;;17;;;
;;16;;;
;;19;;;
;;21;;;
;;15;;;
;;12;;;
;;13;;;
;;22;;;
;;20;;;
;;17;;;
;;19;;;
;;11;;;
;;16;;;
;;20;;;
;;19;;;
;;13;;;
;;14;;;
;;13;;;
;;14;;;
;;15;;;
;;16;;;
;;16;;;
;;20;;;
;;21;;;
;;22;;;
;;10;;;
;;13;;;
;;11;;;
;;10;;;
;;9;;;
;;11;;;
;;12;;;
;;13;;;
;;15;;;
;;14;;;
;;15;;;
;;15;;;
;;16;;;
;;17;;;
;;17;;;
;;17;;;
;;16;;;
;;14;;;
;;17;;;
;;18;;;
;;22;;;
;;20;;;
;;20;;;
;;11;;;
;;12;;;
;;13;;;
;;13;;;
;;11;;;
;;12;;;
;;13;;;
;;12;;;
;;13;;;
;;14;;;
;;14;;;
;;12;;;
;;13;;;
;;14;;;
;;15;;;
;;15;;;
;;19;;;
;;19;;;
;;16;;;
;;15;;;
;;22;;;
;;22;;;
;;20;;;
;;21;;;
;;18;;;
;;10;;;
;;11;;;
;;14;;;
;;13;;;
;;12;;;
;;9;;;
;;11;;;
;;14;;;
;;16;;;
;;15;;;
;;14;;;
;;13;;;
;;15;;;
;;14;;;
;;16;;;
;;18;;;
;;20;;;
;;16;;;
;;20;;;
;;22;;;
;;21;;;
;;21;;;
;;19;;;
;;12;;;
;;13;;;
;;12;;;
;;11;;;
;;12;;;
;;9;;;
;;8;;;
;;10;;;
;;13;;;
;;15;;;
;;14;;;
;;13;;;
;;15;;;
;;15;;;
;;17;;;
;;19;;;
;;17;;;
;;16;;;
;;19;;;
;;18;;;
;;22;;;
;;23;;;
;;21;;;
;;23;;;
;;10;;;
;;10;;;
;;11;;;
;;11;;;
;;12;;;
;;13;;;
;;10;;;
;;11;;;
;;11;;;
;;10;;;
;;11;;;
;;14;;;
;;15;;;
;;17;;;
;;15;;;
;;14;;;
;;14;;;
;;14;;;
;;16;;;
;;18;;;
;;17;;;
;;18;;;
;;22;;;
;;21;;;
;;9;;;
;;13;;;
;;11;;;
;;10;;;
;;11;;;
;;10;;;
;;11;;;
;;12;;;
;;11;;;
;;10;;;
;;12;;;
;;13;;;
;;15;;;
;;13;;;
;;14;;;
;;15;;;
;;16;;;
;;17;;;
;;21;;;
;;11;;;
;;12;;;
;;13;;;
;;14;;;
;;15;;;
;;17;;;
;;18;;;
;;16;;;
;;13;;;
;;14;;;
;;16;;;
;;17;;;
;;16;;;
;;20;;;
;;9;;;
;;11;;;
;;12;;;
;;16;;;
;;15;;;
;;14;;;
;;15;;;
;;13;;;
;;12;;;
;;14;;;
;;16;;;
;;17;;;
;;19;;;
;;18;;;
;;20;;;
;;22;;;
;;19;;;
;;10;;;
;;11;;;
;;9;;;
;;14;;;
;;20;;;
;;8;;;
;;11;;;
;;10;;;
;;12;;;
;;13;;;
;;9;;;
;;11;;;
;;10;;;
;;12;;;
;;10;;;
;;21;;;
;;21;;;
;;12;;;
;;11;;;
;;12;;;
;;10;;;
;;15;;;
;;16;;;
;;17;;;
;;15;;;
;;18;;;
;;19;;;
;;20;;;
;;21;;;
;;19;;;
;;9;;;
;;12;;;
;;13;;;
;;11;;;
;;10;;;
;;11;;;
;;12;;;
;;14;;;
;;15;;;
;;16;;;
;;15;;;
;;22;;;
;;22;;;
;;20;;;
;;13;;;
;;11;;;
;;11;;;
;;10;;;
;;13;;;
;;14;;;
;;16;;;
;;13;;;
;;14;;;
;;16;;;
;;17;;;
;;18;;;
;;16;;;
;;19;;;
;;19;;;
;;19;;;
;;9;;;
;;11;;;
;;12;;;
;;11;;;
;;12;;;
;;9;;;
;;11;;;
;;13;;;
;;14;;;
;;15;;;
;;14;;;
;;13;;;
;;13;;;
;;14;;;
;;16;;;
;;17;;;
;;21;;;
;;20;;;
;;8;;;
;;10;;;
;;12;;;
;;11;;;
;;9;;;
;;10;;;
;;11;;;
;;12;;;
;;10;;;
;;11;;;
;;12;;;
;;13;;;
;;12;;;
;;13;;;
;;15;;;
;;16;;;
;;15;;;
;;21;;;
;;18;;;
;;9;;;
;;10;;;
;;14;;;
;;12;;;
;;11;;;
;;11;;;
;;12;;;
;;11;;;
;;11;;;
;;12;;;
;;13;;;
;;12;;;
;;12;;;
;;11;;;
;;10;;;
;;11;;;
;;12;;;
;;12;;;
;;13;;;
;;19;;;
;;10;;;
;;10;;;
;;13;;;
;;12;;;
;;12;;;
;;13;;;
;;12;;;
;;11;;;
;;12;;;
;;14;;;
;;13;;;
;;13;;;
;;14;;;
;;13;;;
;;12;;;
;;11;;;
;;13;;;
;;14;;;
;;14;;;
;;22;;;
;;20;;;
;;11;;;
;;12;;;
;;13;;;
;;12;;;
;;11;;;
;;11;;;
;;13;;;
;;13;;;
;;13;;;
;;14;;;
;;13;;;
;;23;;;
;;20;;;
;;22;;;
;;10;;;
;;13;;;
;;12;;;
;;14;;;
;;15;;;
;;12;;;
;;21;;;
;;9;;;
;;11;;;
;;10;;;
;;9;;;
;;10;;;
;;12;;;
;;13;;;
;;14;;;
;;13;;;
;;14;;;
;;14;;;
;;13;;;
;;20;;;
;;22;;;
;;19;;;
;;19;;;
;;19;;;
;;9;;;
;;13;;;
;;12;;;
;;12;;;
;;13;;;
;;22;;;
;;20;;;
;;9;;;
;;13;;;
;;11;;;
;;10;;;
;;10;;;
;;11;;;
;;11;;;
;;12;;;
;;15;;;
;;20;;;
;;19;;;
;;11;;;
;;12;;;
;;10;;;
;;21;;;
;;21;;;
;;10;;;
;;11;;;
;;13;;;
;;12;;;
;;11;;;
;;10;;;
;;11;;;
;;10;;;
;;12;;;
;;13;;;
;;14;;;
;;15;;;
;;15;;;
;;21;;;
;;18;;;
;;18;;;
;;19;;;
;;9;;;
;;10;;;
;;14;;;
;;13;;;
;;12;;;
;;11;;;
;;12;;;
;;14;;;
;;15;;;
;;14;;;
;;13;;;
;;11;;;
;;10;;;
;;8;;;
;;12;;;
;;13;;;
;;14;;;
;;15;;;
;;16;;;
;;17;;;
;;20;;;
;;10;;;
;;15;;;
;;14;;;
;;12;;;
;;13;;;
;;15;;;
;;16;;;
;;17;;;
;;15;;;
;;13;;;
;;11;;;
;;10;;;
;;9;;;
;;12;;;
;;15;;;
;;16;;;
;;22;;;
;;19;;;
;;15;;;
;;13;;;
;;11;;;
;;10;;;
;;11;;;
;;12;;;
;;12;;;
;;11;;;
;;12;;;
;;13;;;
;;14;;;
;;21;;;
;;19;;;
;;19;;;
;;9;;;
;;10;;;
;;12;;;
;;16;;;
;;18;;;
;;17;;;
;;13;;;
;;14;;;
;;15;;;
;;17;;;
;;16;;;
;;14;;;
;;12;;;
;;12;;;
;;10;;;
;;10;;;
;;11;;;
;;12;;;
;;19;;;
;;20;;;
;;21;;;
;;11;;;
;;12;;;
;;13;;;
;;14;;;
;;15;;;
;;11;;;
;;21;;;
;;10;;;
;;11;;;
;;12;;;
;;13;;;
;;20;;;
;;22;;;
;;9;;;
;;10;;;
;;11;;;
;;12;;;
;;19;;;
;;18;;;
;;18;;;
;;8;;;
;;9;;;
;;8;;;
;;9;;;
;;10;;;
;;11;;;
;;11;;;
;;11;;;
;;19;;;
;;19;;;
;;18;;;
;;8;;;
;;12;;;
;;11;;;
;;10;;;
;;10;;;
;;21;;;
;;21;;;
;;21;;;
;;19;;;
;;18;;;
;;18;;;
;;17;;;
;;18;;;
;;19;;;
;;21;;;
;;16;;;
;;20;;;
;;21;;;
;;18;;;
;;18;;;
;;18;;;
;;20;;;
;;18;;;
;;17;;;
;;18;;;
;;17;;;
;;16;;;
;;17;;;
;;18;;;
;;17;;;
;;19;;;
;;17;;;
;;18;;;
;;18;;;
